experiment_id,condition,seed,true_stage,predicted_stage,row_normalized_probability,count,analysis_scope
D1_SLEEPEDF_TO_ISRUC,C1,2026,REM,N3,0.0024330900243309003,8,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,2026,REM,REM,0.5285888077858881,1738,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,17,Wake,Wake,0.8369897456123052,33955,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,17,Wake,N1,0.029407414711102347,1193,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,17,Wake,N2,0.02610431867481759,1059,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,17,Wake,N3,4.9299940840070995e-05,2,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,17,Wake,REM,0.10744922106093473,4359,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,17,N1,Wake,0.06297548605240913,149,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,17,N1,N1,0.636094674556213,1505,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,17,N1,N2,0.14327979712595096,339,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,17,N1,N3,0.0,0,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,17,N1,REM,0.1576500422654269,373,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,17,N2,Wake,0.06942714819427148,669,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,17,N2,N1,0.31423827314238273,3028,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,17,N2,N2,0.5656911581569116,5451,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,17,N2,N3,0.00010377750103777501,1,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,17,N2,REM,0.05053964300539643,487,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,17,N3,Wake,0.363481228668942,639,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,17,N3,N1,0.03924914675767918,69,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,17,N3,N2,0.5728100113765643,1007,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,17,N3,N3,0.013651877133105802,24,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,17,N3,REM,0.01080773606370876,19,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,17,REM,Wake,0.0267639902676399,88,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,17,REM,N1,0.21380778588807786,703,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,17,REM,N2,0.10614355231143552,349,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,17,REM,N3,0.0,0,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,17,REM,REM,0.6532846715328468,2148,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,42,Wake,Wake,0.8598156182212582,34881,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,42,Wake,N1,0.022998422401893117,933,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,42,Wake,N2,0.043359297968842435,1759,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,42,Wake,N3,0.00027114967462039046,11,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,42,Wake,REM,0.07355551173338593,2984,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,42,N1,Wake,0.0536770921386306,127,DESCRIPTIVE_CONFUSION_MIGRATION
