experiment_id,seed,condition,variant,alpha,qhat,empirical_coverage,signed_coverage_gap,absolute_coverage_error,mean_set_size,median_set_size,singleton_fraction,analysis_scope
D2_ISRUC_TO_SLEEPEDF,2026,C3,ORACLE_DOMAIN_APS,0.1,0.9986571415929776,0.9163602744867104,-0.016360274486710402,0.016360274486710402,3.022868807191088,3.0,0.16071019927442262,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,2026,C3,ORACLE_DOMAIN_APS,0.05,0.9997692790900338,0.9492217892896482,0.0007782107103517788,0.0007782107103517788,3.4554965994282036,4.0,0.07121215357342275,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,2026,C3,ORACLE_CONDITION_APS,0.1,0.9986571415929776,0.9163602744867104,-0.016360274486710402,0.016360274486710402,3.022868807191088,3.0,0.16071019927442262,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,2026,C3,ORACLE_CONDITION_APS,0.05,0.9997692790900338,0.9492217892896482,0.0007782107103517788,0.0007782107103517788,3.4554965994282036,4.0,0.07121215357342275,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,2026,C4,SOURCE_APS,0.1,0.9951230063346641,0.8252603443593836,0.07473965564061646,0.07473965564061646,3.193617482203827,4.0,0.14055086517015064,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,2026,C4,SOURCE_APS,0.05,0.9982237137460845,0.8628908979401292,0.08710910205987077,0.08710910205987077,3.5061588642181736,4.0,0.0802498329463384,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,2026,C4,ORACLE_DOMAIN_APS,0.1,0.9986571415929776,0.8701466715892829,0.029853328410717084,0.029853328410717084,3.5713143690558646,4.0,0.06897256658499598,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,2026,C4,ORACLE_DOMAIN_APS,0.05,0.9997692790900338,0.897757056682299,0.05224294331770096,0.05224294331770096,3.829550343413509,4.0,0.03290118051254199,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,2026,C4,ORACLE_CONDITION_APS,0.1,0.9999999999999999,1.0,-0.09999999999999998,0.09999999999999998,5.0,5.0,0.0,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,2026,C4,ORACLE_CONDITION_APS,0.05,1.0,1.0,-0.050000000000000044,0.050000000000000044,5.0,5.0,0.0,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,2026,C5,SOURCE_APS,0.1,0.9951230063346641,0.9566850451121166,-0.05668504511211658,0.05668504511211658,3.5824299213703585,4.0,0.05438168786747991,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,2026,C5,SOURCE_APS,0.05,0.9982237137460845,0.9797277711837773,-0.02972777118377734,0.02972777118377734,3.8572949816774935,4.0,0.008076548717119415,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,2026,C5,ORACLE_DOMAIN_APS,0.1,0.9986571415929776,0.9820375359661194,-0.0820375359661194,0.0820375359661194,3.9036245304953026,4.0,0.003859778665340408,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,2026,C5,ORACLE_DOMAIN_APS,0.05,0.9997692790900338,0.9841977915353376,-0.03419779153533764,0.03419779153533764,3.9984469349085705,4.0,0.0,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,2026,C5,ORACLE_CONDITION_APS,0.1,0.9906636662949777,0.9274819292180668,-0.027481929218066803,0.027481929218066803,3.3193364231904043,4.0,0.11747762701417896,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,2026,C5,ORACLE_CONDITION_APS,0.05,0.9959784718374018,0.9632329384052554,-0.013232938405255412,0.013232938405255412,3.648494686320517,4.0,0.04054140642401423,ORACLE_TARGET_UPPER_BOUND
