direction,seed,condition,montage,metric,probability_variant,value,subject_count,epoch_count,analysis_scope,interpretation
D1_SLEEPEDF_TO_ISRUC,2026,C5,ISRUC_A1A2,Brier,UNCALIBRATED,0.9323587292641641,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C5,ISRUC_A1A2,error_entropy_AUROC,UNCALIBRATED,0.602450131681887,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C5,ISRUC_A1A2,error_entropy_AUPRC,UNCALIBRATED,0.7978633147721244,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C5,ISRUC_A1A2,entropy_AURC,UNCALIBRATED,0.6394119517033022,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C5,ISRUC_M1M2,macro-F1,UNCALIBRATED,0.34299142976573593,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C5,ISRUC_M1M2,NLL,UNCALIBRATED,1.499602764907937,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C5,ISRUC_M1M2,Brier,UNCALIBRATED,0.7599655405336986,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C5,ISRUC_M1M2,error_entropy_AUROC,UNCALIBRATED,0.5936163808614725,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C5,ISRUC_M1M2,error_entropy_AUPRC,UNCALIBRATED,0.6563037642296736,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C5,ISRUC_M1M2,entropy_AURC,UNCALIBRATED,0.5122811267191819,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
