experiment_id,seed,condition,true_class,predicted_class,count,prediction_hash
D1_SLEEPEDF_TO_ISRUC,17,C5,4,3,11,b348243ec14f25559cc0e77ef571f57fa7034ce79cb6b1e2bd12674fd8299f75
D1_SLEEPEDF_TO_ISRUC,17,C5,4,4,3428,b348243ec14f25559cc0e77ef571f57fa7034ce79cb6b1e2bd12674fd8299f75
D1_SLEEPEDF_TO_ISRUC,42,C0,0,0,39789,290a93647c80e0cc647a0c7ece8107f6ae0f77c607f44c27fe9bb2f766587190
D1_SLEEPEDF_TO_ISRUC,42,C0,0,1,571,290a93647c80e0cc647a0c7ece8107f6ae0f77c607f44c27fe9bb2f766587190
D1_SLEEPEDF_TO_ISRUC,42,C0,0,2,87,290a93647c80e0cc647a0c7ece8107f6ae0f77c607f44c27fe9bb2f766587190
D1_SLEEPEDF_TO_ISRUC,42,C0,0,3,39,290a93647c80e0cc647a0c7ece8107f6ae0f77c607f44c27fe9bb2f766587190
D1_SLEEPEDF_TO_ISRUC,42,C0,0,4,82,290a93647c80e0cc647a0c7ece8107f6ae0f77c607f44c27fe9bb2f766587190
D1_SLEEPEDF_TO_ISRUC,42,C0,1,0,260,290a93647c80e0cc647a0c7ece8107f6ae0f77c607f44c27fe9bb2f766587190
D1_SLEEPEDF_TO_ISRUC,42,C0,1,1,1200,290a93647c80e0cc647a0c7ece8107f6ae0f77c607f44c27fe9bb2f766587190
D1_SLEEPEDF_TO_ISRUC,42,C0,1,2,716,290a93647c80e0cc647a0c7ece8107f6ae0f77c607f44c27fe9bb2f766587190
D1_SLEEPEDF_TO_ISRUC,42,C0,1,3,13,290a93647c80e0cc647a0c7ece8107f6ae0f77c607f44c27fe9bb2f766587190
D1_SLEEPEDF_TO_ISRUC,42,C0,1,4,177,290a93647c80e0cc647a0c7ece8107f6ae0f77c607f44c27fe9bb2f766587190
D1_SLEEPEDF_TO_ISRUC,42,C0,2,0,65,290a93647c80e0cc647a0c7ece8107f6ae0f77c607f44c27fe9bb2f766587190
D1_SLEEPEDF_TO_ISRUC,42,C0,2,1,728,290a93647c80e0cc647a0c7ece8107f6ae0f77c607f44c27fe9bb2f766587190
D1_SLEEPEDF_TO_ISRUC,42,C0,2,2,8121,290a93647c80e0cc647a0c7ece8107f6ae0f77c607f44c27fe9bb2f766587190
D1_SLEEPEDF_TO_ISRUC,42,C0,2,3,532,290a93647c80e0cc647a0c7ece8107f6ae0f77c607f44c27fe9bb2f766587190
D1_SLEEPEDF_TO_ISRUC,42,C0,2,4,190,290a93647c80e0cc647a0c7ece8107f6ae0f77c607f44c27fe9bb2f766587190
D1_SLEEPEDF_TO_ISRUC,42,C0,3,0,0,290a93647c80e0cc647a0c7ece8107f6ae0f77c607f44c27fe9bb2f766587190
D1_SLEEPEDF_TO_ISRUC,42,C0,3,1,4,290a93647c80e0cc647a0c7ece8107f6ae0f77c607f44c27fe9bb2f766587190
D1_SLEEPEDF_TO_ISRUC,42,C0,3,2,372,290a93647c80e0cc647a0c7ece8107f6ae0f77c607f44c27fe9bb2f766587190
D1_SLEEPEDF_TO_ISRUC,42,C0,3,3,1382,290a93647c80e0cc647a0c7ece8107f6ae0f77c607f44c27fe9bb2f766587190
D1_SLEEPEDF_TO_ISRUC,42,C0,3,4,0,290a93647c80e0cc647a0c7ece8107f6ae0f77c607f44c27fe9bb2f766587190
D1_SLEEPEDF_TO_ISRUC,42,C0,4,0,98,290a93647c80e0cc647a0c7ece8107f6ae0f77c607f44c27fe9bb2f766587190
D1_SLEEPEDF_TO_ISRUC,42,C0,4,1,337,290a93647c80e0cc647a0c7ece8107f6ae0f77c607f44c27fe9bb2f766587190
D1_SLEEPEDF_TO_ISRUC,42,C0,4,2,454,290a93647c80e0cc647a0c7ece8107f6ae0f77c607f44c27fe9bb2f766587190
D1_SLEEPEDF_TO_ISRUC,42,C0,4,3,5,290a93647c80e0cc647a0c7ece8107f6ae0f77c607f44c27fe9bb2f766587190
