experiment_id,condition,true_class,predicted_class,b0_row_normalized,b1_row_normalized,b1_minus_b0
D1_SLEEPEDF_TO_ISRUC,C0,4,0,0.04744525547445255,0.03274533657745337,-0.014699918896999183
D1_SLEEPEDF_TO_ISRUC,C0,4,1,0.08951743714517439,0.1047242497972425,0.015206812652068108
D1_SLEEPEDF_TO_ISRUC,C0,4,2,0.1373682076236821,0.09367396593673967,-0.04369424168694243
D1_SLEEPEDF_TO_ISRUC,C0,4,3,0.0012165450121654502,0.0008110300081103001,-0.00040551500405515005
D1_SLEEPEDF_TO_ISRUC,C0,4,4,0.7244525547445256,0.7680454176804542,0.04359286293592857
D1_SLEEPEDF_TO_ISRUC,C1,0,0,0.9843144021560507,0.9813974889896798,-0.0029169131663708825
D1_SLEEPEDF_TO_ISRUC,C1,0,1,0.00787977387760468,0.010541970682968513,0.0026621968053638333
D1_SLEEPEDF_TO_ISRUC,C1,0,2,0.0028100966278840466,0.002990863077630973,0.0001807664497469265
D1_SLEEPEDF_TO_ISRUC,C1,0,3,0.0011585486097416683,0.0011338986393216327,-2.464997042003563e-05
D1_SLEEPEDF_TO_ISRUC,C1,0,4,0.0038371787287188584,0.0039357786103990005,9.859988168014209e-05
D1_SLEEPEDF_TO_ISRUC,C1,1,0,0.2511975204282897,0.1966751197520428,-0.05452240067624689
D1_SLEEPEDF_TO_ISRUC,C1,1,1,0.25119752042828963,0.33939137785291634,0.08819385742462671
D1_SLEEPEDF_TO_ISRUC,C1,1,2,0.33741899126514513,0.3258664412510566,-0.011552550014088503
D1_SLEEPEDF_TO_ISRUC,C1,1,3,0.004790081713158637,0.005917159763313609,0.0011270780501549723
D1_SLEEPEDF_TO_ISRUC,C1,1,4,0.15539588616511693,0.13214990138067062,-0.02324598478444631
D1_SLEEPEDF_TO_ISRUC,C1,2,0,0.023522900235229006,0.014840182648401826,-0.00868271758682718
D1_SLEEPEDF_TO_ISRUC,C1,2,1,0.055417185554171855,0.07496194824961948,0.019544762695447623
D1_SLEEPEDF_TO_ISRUC,C1,2,2,0.8462363359623634,0.8172132281721324,-0.029023107790230984
D1_SLEEPEDF_TO_ISRUC,C1,2,3,0.029023107790231078,0.05351459803514597,0.024491490244914895
D1_SLEEPEDF_TO_ISRUC,C1,2,4,0.045800470458004706,0.03947004289470043,-0.006330427563304278
D1_SLEEPEDF_TO_ISRUC,C1,3,0,0.0013272658323852861,0.0007584376185058779,-0.0005688282138794083
D1_SLEEPEDF_TO_ISRUC,C1,3,1,0.004929844520288207,0.0034129692832764505,-0.0015168752370117561
D1_SLEEPEDF_TO_ISRUC,C1,3,2,0.39438756162305655,0.28536215396283654,-0.10902540766022001
D1_SLEEPEDF_TO_ISRUC,C1,3,3,0.59935532802427,0.7098976109215017,0.11054228289723167
